exercicio,caso,n,tempo_ns
5,p,430000,1070.0
5,m,440000,450.0
5,p,440000,1080.0
5,m,450000,460.0
5,p,450000,1100.0
5,m,460000,540.0
5,p,460000,1140.0
5,m,470000,570.0
5,p,470000,1090.0
5,m,480000,550.0
5,p,480000,1100.0
5,m,490000,1390.0
5,p,490000,1030.0
5,m,500000,590.0
5,p,500000,970.0
6,m,0,180.0
6,p,0,120.0
6,m,10000,240.0
6,p,10000,320.0
6,m,20000,260.0
6,p,20000,460.0
6,m,30000,270.0
6,p,30000,480.0
6,m,40000,320.0
6,p,40000,670.0
6,m,50000,390.0
6,p,50000,620.0
6,m,60000,470.0
6,p,60000,990.0
6,m,70000,340.0
6,p,70000,780.0
6,m,80000,460.0
6,p,80000,1260.0
6,m,90000,460.0
6,p,90000,860.0
6,m,100000,440.0
6,p,100000,880.0
6,m,110000,520.0
6,p,110000,890.0
6,m,120000,550.0
6,p,120000,910.0
6,m,130000,520.0
6,p,130000,780.0
6,m,140000,510.0
6,p,140000,930.0
6,m,150000,520.0
6,p,150000,900.0
6,m,160000,560.0
6,p,160000,940.0
6,m,170000,490.0
6,p,170000,880.0
6,m,180000,490.0
6,p,180000,930.0
6,m,190000,520.0
6,p,190000,910.0
6,m,200000,620.0
6,p,200000,1060.0
6,m,210000,580.0
6,p,210000,1080.0
6,m,220000,2190.0
6,p,220000,1130.0
6,m,230000,500.0
6,p,230000,1070.0
6,m,240000,500.0
6,p,240000,1030.0
6,m,250000,500.0
6,p,250000,970.0
6,m,260000,510.0
6,p,260000,1020.0
6,m,270000,540.0
6,p,270000,1130.0
6,m,280000,520.0
6,p,280000,1120.0
6,m,290000,530.0
6,p,290000,1040.0
6,m,300000,460.0
6,p,300000,1000.0
6,m,310000,520.0
6,p,310000,960.0
6,m,320000,460.0
6,p,320000,1150.0
6,m,330000,560.0
6,p,330000,1050.0
6,m,340000,640.0
6,p,340000,1030.0
6,m,350000,480.0
6,p,350000,1020.0
6,m,360000,490.0
6,p,360000,1020.0
6,m,370000,530.0
6,p,370000,1020.0
6,m,380000,470.0
6,p,380000,1120.0
6,m,390000,460.0
6,p,390000,1070.0
6,m,400000,510.0
6,p,400000,1120.0
6,m,410000,490.0
6,p,410000,1010.0
6,m,420000,580.0
6,p,420000,1470.0
6,m,430000,540.0
6,p,430000,1050.0
6,m,440000,540.0
6,p,440000,1080.0
6,m,450000,510.0
6,p,450000,1050.0
6,m,460000,890.0
6,p,460000,1030.0
6,m,470000,490.0
6,p,470000,1020.0
6,m,480000,550.0
6,p,480000,1000.0
6,m,490000,470.0
6,p,490000,1090.0
6,m,500000,550.0
6,p,500000,1050.0
7,m,0,140.0
7,p,0,120.0
7,m,10000,180.0
7,p,10000,330.0
7,m,20000,330.0
7,p,20000,580.0
7,m,30000,290.0
7,p,30000,500.0
7,m,40000,380.0
7,p,40000,650.0
7,m,50000,420.0
7,p,50000,700.0
7,m,60000,350.0
7,p,60000,870.0
7,m,70000,460.0
7,p,70000,900.0
7,m,80000,490.0
7,p,80000,970.0
7,m,90000,470.0
7,p,90000,1010.0
7,m,100000,440.0
7,p,100000,930.0
7,m,110000,450.0
7,p,110000,990.0
7,m,120000,500.0
7,p,120000,960.0
7,m,130000,500.0
7,p,130000,990.0
7,m,140000,520.0
7,p,140000,920.0
7,m,150000,500.0
7,p,150000,960.0
7,m,160000,500.0
7,p,160000,1060.0
7,m,170000,530.0
7,p,170000,990.0
7,m,180000,470.0
7,p,180000,1070.0
7,m,190000,580.0
7,p,190000,950.0
7,m,200000,550.0
7,p,200000,970.0
7,m,210000,610.0
7,p,210000,1110.0
7,m,220000,530.0
7,p,220000,1040.0
7,m,230000,560.0
7,p,230000,1180.0
7,m,240000,510.0
7,p,240000,1060.0
7,m,250000,500.0
7,p,250000,1020.0
7,m,260000,480.0
7,p,260000,1170.0
7,m,270000,570.0
7,p,270000,1190.0
7,m,280000,500.0
7,p,280000,1280.0
7,m,290000,520.0
7,p,290000,1260.0
7,m,300000,570.0
7,p,300000,1080.0
7,m,310000,510.0
7,p,310000,1230.0
7,m,320000,570.0
7,p,320000,1300.0
7,m,330000,540.0
7,p,330000,1440.0
7,m,340000,530.0
7,p,340000,1140.0
7,m,350000,590.0
7,p,350000,1200.0
7,m,360000,490.0
7,p,360000,1210.0
7,m,370000,500.0
7,p,370000,1250.0
7,m,380000,490.0
7,p,380000,1140.0
7,m,390000,540.0
7,p,390000,1190.0
7,m,400000,500.0
7,p,400000,1200.0
7,m,410000,520.0
7,p,410000,1300.0
7,m,420000,500.0
7,p,420000,1120.0
7,m,430000,520.0
7,p,430000,1260.0
7,m,440000,540.0
7,p,440000,1280.0
7,m,450000,490.0
7,p,450000,1200.0
7,m,460000,550.0
7,p,460000,1340.0
7,m,470000,510.0
7,p,470000,1260.0
7,m,480000,520.0
7,p,480000,1710.0
7,m,490000,500.0
7,p,490000,1190.0
7,m,500000,540.0
7,p,500000,1250.0
8,m,0,150.0
8,p,0,130.0
8,m,10000,350.0
8,p,10000,300.0
8,m,20000,380.0
8,p,20000,540.0
8,m,30000,330.0
8,p,30000,440.0
8,m,40000,380.0
8,p,40000,770.0
8,m,50000,410.0
8,p,50000,720.0
8,m,60000,420.0
8,p,60000,790.0
8,m,70000,440.0
8,p,70000,860.0
8,m,80000,470.0
8,p,80000,840.0
8,m,90000,500.0
8,p,90000,1060.0
8,m,100000,430.0
8,p,100000,910.0
8,m,110000,520.0
8,p,110000,1000.0
8,m,120000,610.0
8,p,120000,940.0
8,m,130000,510.0
8,p,130000,1020.0
8,m,140000,880.0
8,p,140000,1130.0
8,m,150000,480.0
8,p,150000,1030.0
8,m,160000,540.0
8,p,160000,1030.0
8,m,170000,530.0
8,p,170000,1130.0
8,m,180000,530.0
8,p,180000,970.0
8,m,190000,520.0
8,p,190000,1130.0
8,m,200000,520.0
8,p,200000,1060.0
8,m,210000,560.0
8,p,210000,1070.0
8,m,220000,530.0
8,p,220000,1100.0
8,m,230000,510.0
8,p,230000,1220.0
8,m,240000,500.0
8,p,240000,1160.0
8,m,250000,540.0
8,p,250000,1170.0
8,m,260000,520.0
8,p,260000,1380.0
8,m,270000,920.0
8,p,270000,2710.0
8,m,280000,520.0
8,p,280000,1130.0
8,m,290000,550.0
8,p,290000,1180.0
8,m,300000,470.0
8,p,300000,1400.0
8,m,310000,510.0
8,p,310000,1150.0
8,m,320000,480.0
8,p,320000,1220.0
8,m,330000,520.0
8,p,330000,1150.0
8,m,340000,430.0
8,p,340000,1140.0
8,m,350000,1770.0
8,p,350000,1140.0
8,m,360000,460.0
8,p,360000,1110.0
8,m,370000,500.0
8,p,370000,1130.0
8,m,380000,510.0
8,p,380000,1200.0
8,m,390000,520.0
8,p,390000,1170.0
8,m,400000,470.0
8,p,400000,1200.0
8,m,410000,450.0
8,p,410000,1180.0
8,m,420000,470.0
